,text
10,"<|endoftext|>Anna can read 1 page in 1 minute. Carole can read as fast as Anna but at half the speed of Brianna. How long does it take Brianna to read a 100-page book?: If Anna can read 1 page in 1 minute, then her speed is 1/1 = <<1/1=1>>1 page per min
If Carole can read at Anna's same speed then her speed is also 1 page per min
If Carole is only half the speed of Brianna, then that means Brianna is twice as fast as Carole, so 2 * 1 page per min = <<1*2=2>>2 pages per min
If a book is 100 pages long and Brianna can read 2 pages per minute, then it will take her 100/2 = <<100/2=50>>50 minutes to read the book
#### 50<|endoftext|>"
11,"<|endoftext|>Leticia, Scarlett, and Percy decide to eat at a Greek restaurant for lunch. The prices for their dishes cost $10, $13, and $17, respectively. If the trio gives the waiter a 10% tip, how much gratuity should the waiter receive in dollars?: The total bill comes to $10 + $13 + $17 = $<<10+13+17=40>>40.
The total gratuity earned comes to $40 * 0.1 = $<<40*0.1=4>>4
#### 4<|endoftext|>"
12,"<|endoftext|>Michael has two brothers. His oldest brother is 1 year older than twice Michael's age when Michael was a year younger. His younger brother is 5 years old, which is a third of the age of the older brother. What is their combined age?: The oldest brother is 15 because 3 x 5 = <<3*5=15>>15
Michael is 8 because if 1 + (Michael's age - 1) x 2 = 15 then Michael's age = 8
Their combined age is 28 because 5 + 15 + 8 = <<5+15+8=28>>28
#### 28<|endoftext|>"
13,"<|endoftext|>If you buy 2 packs of 500 mL milk, it will cost $2.50. If you buy them individually, they will cost $1.30 each. How much is your total savings from buying ten sets of 2 packs of 500 mL milk?: The price per 500 mL milk from the 2 packs is $2.50/2 = $<<2.5/2=1.25>>1.25.
This means that for each pack of 500 mL milk, you can save $1.30 - $1.25 = $0.05.
Ten sets of 2 packs mean 10 x 2 = <<10*2=20>>20 packs of 500 mL of milk.
So, your total savings will be $0.05 x 20 = $<<0.05*20=1>>1.
#### 1<|endoftext|>"
14,"<|endoftext|>Steven is preparing a shipment of boxes to deliver to a customer for his chemical supply business. The products are very delicate and must be carefully packed, so partially filled boxes can’t be shipped. Steven has three trucks that can be sent on each delivery. Each truck can carry a load of no more than 2,000 pounds of cargo. Some of the boxes weigh 10 pounds after being packed, and some of the boxes weigh 40 pounds when packed. Steven’s customer has ordered equal quantities of both the lighter and heavier products. How many boxes of products can Steven ship to his customer in each delivery?: Each pair of boxes weighs 40 pounds + 10 pounds, or <<40+10=50>>50 pounds.
Each pair weighs 50 pounds, so the delivery trucks can carry 2000 / 50 pairs of boxes or <<2000/50=40>>40 pairs.
Steven has three trucks, so each trip can move 40 * 3 pairs of boxes = <<40*3=120>>120 pairs of boxes.
Each pair is a set of two boxes, so each delivery contains 120 * 2 boxes = <<120*2=240>>240 boxes
#### 240<|endoftext|>"
15,"<|endoftext|>Tom reads 10 hours over 5 days.  He can read 50 pages per hour.  Assuming he reads the same amount every day how many pages does he read in 7 days?: He reads 10/5=<<10/5=2>>2 hours per day
That means he reads 2*50=<<2*50=100>>100 pages per day
So he reads 100*7=<<100*7=700>>700 pages in 7 days
#### 700<|endoftext|>"
16,"<|endoftext|>June is running for class president.  She needs just over 50% of the vote to win.  There are 200 students in the school.  60% of students are boys and the rest are girls.  If she receives 67.5% of male vote, what is the smallest percentage of the female she must receive to win the election?: 50% of the vote is 100 votes because 200 x .5 = <<200*.5=100>>100
Just over 50% is 101 votes because 100 + 1 = 101
120 students are boys because 200 x .6 = <<200*.6=120>>120
80 students are girls because 200 - 120 = <<200-120=80>>80
She gets 81 votes from boys because 120 x .675 = <<120*.675=81>>81
She needs 20 votes from girls because 101 - 81 = <<101-81=20>>20
She needs a proportion of .25 of girl's votes to win because 20 / 80 = <<20/80=.25>>.25
The percentage she needs is 25 because 100 x .25 = <<100*.25=25>>25
#### 25<|endoftext|>"
17,"<|endoftext|>The state of Virginia had 3.79 inches of rain in March, 4.5 inches of rain in April, 3.95 inches of rain in May, 3.09 inches of rain in June and 4.67 inches in July.  What is the average rainfall amount, in inches, in Virginia?: It rained for a total of 3.79+4.5+3.95+3.09+4.67 = <<3.79+4.5+3.95+3.09+4.67=20>>20 inches
The rain period is from March through July for a total of 5 months so the average rainfall is 20/5 = <<20/5=4>>4 inches of rain per month
#### 4<|endoftext|>"
18,"<|endoftext|>Mr. Doré bought $140 worth of pants, a $43 shirt and a $15 tie. He pays with a $200 bill. How much will the saleswoman give him back?: The total expenses are $140 + $43 + $15 = $<<140+43+15=198>>198.
Mr. Doré paid $200, so the saleswoman must give him $200 - $198 = $<<200-198=2>>2 back.
#### 2<|endoftext|>"
19,"<|endoftext|>A pen costs $9 more than a pencil. If a pencil costs $2, find the total cost of both items.: A pen costs $9 more than $2 which is $9+$2 = $<<9+2=11>>11
Altogether they cost $11+$2 = $<<11+2=13>>13
#### 13<|endoftext|>"
20,"<|endoftext|>There are 8 red pens in Maria's desk drawer. There are 10 more black pens than red pens. There are also 7 more blue pens than red pens. How many pens are there in all?: Maria has 8 + 10 = <<8+10=18>>18 black pens.
Maria has 8 + 7 = <<8+7=15>>15 blue pens.
Maria has 8 + 18 + 15 = <<8+18+15=41>>41 pens in total.
#### 41<|endoftext|>"
21,"<|endoftext|>Lee had $10 and his friend had $8. They went to a restaurant where they ordered chicken wings for $6 and a chicken salad for $4. They also got 2 sodas for $1.00 each. The tax came to $3. How much change should they have received in total?: Lee and his friend had a total of $10 + $8 = $<<10+8=18>>18.
The cost of the food was $6 + $4 + $1 + $1 = $<<6+4+1+1=12>>12.
The total cost, including tax was $12 + $3 = $<<12+3=15>>15.
They should have received $18 - $15 = $<<18-15=3>>3 in total.
#### 3<|endoftext|>"
22,"<|endoftext|>Donny went to the gas station to gas up his tank. He knows his truck holds 150 liters of fuel. His truck already contained 38 liters. How much change will he get from $350 if each liter of fuel costs $3?: He needs 150 - 38 = <<150-38=112>>112 liters more to have a full tank of gas.
Donny will pay 112 x $3 = $<<112*3=336>>336 for a full tank of gas.
His will get $350 - $336 = $<<350-336=14>>14 change.""
#### 14<|endoftext|>"
23,"<|endoftext|>Mrs. Kaplan has 1/4 as many pizza slices as Bobby has. If Bobby has 2 pizzas and each pizza has 6 slices, how many slices does Mrs. Kaplan have?: Bobby has 2*6 = <<2*6=12>>12 pizza slices.
1/4 of how many pizza slices Bobby had is 12/4 = <<12/4=3>>3 pizza slices.
#### 3<|endoftext|>"
24,"<|endoftext|>Jake can wash his car with 1 bottle of car wash soap 4 times.  If each bottle costs $4.00, and he washes his car once a week for 20 weeks, how much does he spend on car soap?: 1 bottle of soap will last for 4 washes and he needs enough bottles for 20 weeks so 20/4 = <<20/4=5>>5 bottles
Each bottle cost $4.00 and he needs 5 bottles so he will spend $4*5 = $<<4*5=20.00>>20.00 on car soap
#### 20<|endoftext|>"
25,"<|endoftext|>Kirsty collects small models of animals. The last time she bought some, each one cost $0.45. She saves enough to buy 30 models, but when she goes to the shop, she finds out that the price had increased to $0.50. How many models can she buy now?: Kirsty has 0.45 × 30 = $<<0.45*30=13.50>>13.50 to spare to buy her models.
She can only buy 13.50 ÷ 0.50 = <<13.50/0.50=27>>27 models as the price of each individual model has increased.
#### 27<|endoftext|>"
26,"<|endoftext|>Karen is a dog groomer. Rottweilers take 20 minutes to groom, border collies take 10 minutes to groom, and chihuahuas take 45 minutes to groom because they ferociously resist. How many minutes will it take Karen to groom 6 Rottweilers, 9 border collies and 1 chihuahua?: First find the total time Karen spending grooming Rottweilers: 20 minutes/Rottweiler * 6 Rottweilers = <<20*6=120>>120 minutes
Then find the total time she spends grooming border collies: 10 minutes/border collie * 9 border collies = <<10*9=90>>90 minutes
Then add the time spent grooming all three kinds of dogs to find her total grooming time: 120 minutes + 90 minutes + 45 minutes = <<120+90+45=255>>255 minutes
#### 255<|endoftext|>"
27,"<|endoftext|>Tara has a shoebox that is 4 inches tall and 6 inches wide. She puts a square block inside that is 4 inches per side. How many square inches of the box are left uncovered?: The shoebox is 24 square inches because 4 x 6 = <<4*6=24>>24
The block is 16 square inches because 4 x 4 = <<4*4=16>>16
There are 8 square inches uncovered because 24 - 16 = <<24-16=8>>8
#### 8<|endoftext|>"
28,"<|endoftext|>Janice bought five juices for $10 in total and two sandwiches for $6 in total. How much would she need to pay, if she would only buy one sandwich and one juice?: Janice bought five juices for $10, so one juice costs 10 / 5 = $<<10/5=2>>2.
She also bought two sandwiches for $6, so one sandwich costs 6 / 2 = $<<6/2=3>>3.
So for one juice and one sandwich, Janice would need to pay 2 + 3 = $<<2+3=5>>5.
#### 5<|endoftext|>"
29,"<|endoftext|>Xavier is twice as old as Yasmin is. Xavier will 30 years old in six years. What is the total of their ages now?: If in six years Xavier will be 30 years old, he is 30-6 = <<30-6=24>>24 years old now.
If Xavier is twice as old as Yasmin, Yasmin is 24/2 = <<24/2=12>>12 years old.
The total of their ages now is 12+24 = <<12+24=36>>36 years
#### 36<|endoftext|>"
30,"<|endoftext|>Two siblings, Eman and Frank, agreed to buy a new computer table, computer chair, and a joystick. The computer table costs $140, the computer chair costs $100, and the joystick costs $20. Eman agreed to pay for the computer chair while Frank agreed to pay for the computer table. Then Frank agreed to pay 1/4 of the price of the joystick and the rest will be paid by Eman. How much more money will Frank spend than Eman?: Frank will pay $20 x 1/4 = $<<20*1/4=5>>5 for the joystick.
Eman will pay $20 - $5 = $<<20-5=15>>15 for the joystick.
So, Frank will pay a total of $140 + $5 = $<<140+5=145>>145.
While Eman will pay a total of $100 + $15 = $<<100+15=115>>115.
Therefore, Frank will spend $145 - $115 = $<<145-115=30>>30 more than Eman.
#### 30<|endoftext|>"
31,"<|endoftext|>Kris is blowing u balloons for her sister’s party. She has 30 minutes to blow up as many balloons as possible and decides to enlist her brother’s help to increase the number of balloons. Kris can blow up a total of 2 balloon per minute, and her brother works twice as fast. After 15 minutes, her brother doubles his speed and works at this new speed for the remaining 15 minutes. After the 30 minutes, how many balloons, in total, did Kris and her brother blow up?: Throughout the 30 minutes, Kris blows up 2 balloons per minute * 30 minutes = <<2*30=60>>60 balloons.
Her brother works at double Kris' speed in the first 15 minutes so he works at 2 balloons per minute * 2 = <<2*2=4>>4 balloons per minute.
So in the first 15 minutes, he blows up 4 balloons per minute * 15 minutes = <<4*15=60>>60 balloons.
In the second 15 minutes, he is working at double the rate he did previously, so he blows up 4 balloons per minute * 2 = <<4*2=8>>8 balloons per minute.
In the second 15 minutes, Kris’ brother therefore blows up 8 balloons per minute * 15 minutes = <<8*15=120>>120 balloons.
Throughout the 30 minutes, he has blown up a total of 60 + 120 = <<60+120=180>>180 balloons.
Kris and her brother therefore blew up a total of 60 balloons from Kris + 180 balloons from Kris’ brother = <<60+180=240>>240 balloons.
#### 240<|endoftext|>"
32,"<|endoftext|>Compared to the amount of water she drank, Carla drank three times as much soda minus 6 ounces. If she drank 54 ounces of liquid total, how much water did she drink?: Let s be the amount of soda Carla drank and w be the amount of water she drank. We know that s + w = 54 and s = 3w - 6. Substituting the second equation into the first, we get 3w - 6 + w = 54.
Combining like terms, we get 4w - 6 = 54
Adding 6 to both sides, we get 4w = 60
Dividing both sides by 4, we get w = 15
#### 15<|endoftext|>"
33,"<|endoftext|>Joyce, Michael, Nikki, and Ryn have a favorite movie. Joyce's favorite movie is 2 hours longer than Michael's movie. Nikki's movie is three times as long as Michael's movie, and Ryn's favorite movie is 4/5 times as long as Nikki's favorite movie. If Nikki's favorite movie is 30 hours long, calculate the total number of hours of their favorite movies together.: Since Nikki's favorite movie is 30 hours long, Ryn's favorite movie is 4/5*30= <<30*4/5=24>>24 hours long.
The total number of hours for Nikki's and Ryn's favorite movies is 24+30 = <<24+30=54>>54 hours long.
Nikki's movie is also three times as long as Michael's favorite movie, meaning Michael's favorite movie is 30/3 = <<30/3=10>>10 hours long.
Together, Nikki, Ryn, and Michael's favorite movies are 54+10 = <<54+10=64>>64 hours long.
If Joyce's favorite movie is 2 hours longer than Michael's favorite movie, then her favorite movie is 10+2 = <<2+10=12>>12 hours long.
The length of Nikki, Ryn, Michael, and Joyce's favorite movies is 64+12 = <<64+12=76>>76 hours.
#### 76<|endoftext|>"
34,"<|endoftext|>Jacob can write twice as fast as Nathan. Nathan wrote 25 letters in one hour. How many letters can the two write in 10 hours together?: Since Nathan writes 25 letters in an hour, Jacob writes 25*2 = <<25*2=50>>50 letters in an hour.
Together, they write 50+25 = <<50+25=75>>75 letters in an hour,
In 10 hours, they'll write a total of 75*10 = <<10*75=750>>750 letters
#### 750<|endoftext|>"
35,"<|endoftext|>Four years ago, Kody was only half as old as Mohamed. If Mohamed is currently twice 30 years old, how old is Kody?: Mohammed is currently 2*30 = <<2*30=60>>60 years old.
four years ago, Mohammed was 60-4 = <<60-4=56>>56 years old
Four years ago, Kody was half Mohammed's age, which is 56/2 = <<56/2=28>>28 years old.
Currently, Kody is 28+4 = <<28+4=32>>32 years old
#### 32<|endoftext|>"
36,"<|endoftext|>Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?: She spent 4 x $1.50 = $<<4*1.5=6>>6 for the lollipops.
She also spent 2 x $2 = $<<2*2=4>>4 for the gummies.
Therefore, Chastity was left with $15 - $10 = $<<15-10=5>>5
#### 5<|endoftext|>"
37,"<|endoftext|>A bag has seven apples, eight oranges, and 15 mangoes. Luisa takes out two apples from the bag, and takes out twice as many oranges as apples as she took from the bag. She then takes out 2/3 the number of mangoes from the bag. What is the remaining number of fruits in the bag?: When Luisa takes out two apples from the bag, 7 apples - 2 apples = <<7-2=5>>5 apples remain in the bag.
She also takes 2 apples * 2 oranges/apple = <<2*2=4>>4 oranges from the bag.
The total number of oranges remaining in the bag is 8 oranges - 4 oranges = <<8-4=4>>4 oranges
Additionally, a total of 2/3 * 15 mangoes = <<2/3*15=10>>10 mangoes are also removed from the bag.
The total number of mangoes remaining in the bag is 15 mangoes - 10 mangoes = <<15-10=5>>5 mangoes.
The total number of fruits that Luisa left in the bag is 5 apples + 4 oranges + 5 mangoes = <<5+4+5=14>>14
#### 14<|endoftext|>"
38,"<|endoftext|>There were some snowflakes at first. It snowed an additional 4 snowflakes every 5 minutes. If there were 58 snowflakes after 1 hour, how many snowflakes were there at first?: There are 60/5=<<60/5=12>>12 5-minute intervals in 1 hour.
12*4=<<12*4=48>>48 snowflakes fell in 1 hour.
There were 58-48=<<58-48=10>>10 snowflakes at first.
#### 10<|endoftext|>"
39,"<|endoftext|>All 20 of Grant’s baby teeth have fallen out and he has a total of $54 from the tooth fairy. Every time he lost a tooth, he put it under his pillow for the tooth fairy, except for one that he dropped on the way home from school and another he swallowed accidentally. The tooth fairy left Grant $20 when he lost his first tooth. How much did the tooth fairy leave him per tooth after his first tooth, assuming equal money exchanged for each tooth thereafter?: Grant’s 20 baby teeth – 1 tooth he dropped – 1 he swallowed = <<20-1-1=18>>18 teeth left for the tooth fairy.
We aren’t counting his first tooth, so 18 teeth – 1 first tooth = <<18-1=17>>17 teeth.
Grant received $54 - $20 = $<<54-20=34>>34 in total for all the teeth after the first.
So he received $34 / 17 teeth = $<<34/17=2>>2 for each tooth after his first tooth.
#### 2<|endoftext|>"
40,"<|endoftext|>James spends 30 minutes twice a day on meditation.  How many hours a week does he spend meditating?: Each session is 30/60=<<30/60=.5>>.5 hours
So she spends .5*2=<<.5*2=1>>1 hour a day
So she spends 1*7=<<1*7=7>>7 hours a week
#### 7<|endoftext|>"
41,"<|endoftext|>During a fundraiser, each of the 20 members of a group sold candy bars which costs $0.50 each. If each member sold an average of 8 candy bars, how much money did they earn from their candy bars sales, in dollars?: The group was able to sell 20 x 8 = <<20*8=160>>160 candy bars.
So, they got 160 x $0.5 = $<<160*0.5=80>>80 from their candy bars sales.
#### 80<|endoftext|>"
42,"<|endoftext|>Olivia's insurance premium starts out at $50/month. It goes up 10% for every accident and $5/month for every ticket. If she gets in one accident and gets 3 tickets, what's her new insurance premium?: First find the increase due to the accident: $50 * 10% = $<<50*10*.01=5>>5
Then find the total increase due to the tickets: $5/ticket * 3 tickets = $<<5*3=15>>15
Then add both increases to the base price to find the new price: $50 + $5 + $15 = $<<50+5+15=70>>70
#### 70<|endoftext|>"
43,"<|endoftext|>Cheryl has thrice as many colored pencils as Cyrus. Madeline has 63 colored pencils and only half of what Cheryl has. How many colored pencils do the three of them have altogether?: Cheryl has 63 x 2 = <<63*2=126>>126 colored pencils.
Cyrus has 126/3 = <<126/3=42>>42 colored pencils.
Altogether, they have 126 + 42 + 63 = <<126+42+63=231>>231 colored pencils.
#### 231<|endoftext|>"
44,"<|endoftext|>Rob planned on spending three hours reading in preparation for his literature exam. If he ends up spending only three-quarters of this time reading, and he reads a page every fifteen minutes, how many pages did he read in this time?: 1 hour is 60 minutes so 3 hours is 3*60 = <<3*60=180>>180 minutes
Three-quarters of 180 minutes is (3/4)*180 = <<(3/4)*180=135>>135 minutes
He spends 15 minutes on 1 page so he will spend 135 minutes on 135/15 = <<135/15=9>>9 pages
#### 9<|endoftext|>"
45,"<|endoftext|>Cowboy Mickey and cowgirl Minnie train horses for a living.  On average, Mickey mounts six less than twice as many horses per day as does Minnie,  while Minnie mounts three more horses per day than there are days in a week.  How many horses does Mickey Mount per week?: If Minnie mounts three more horses per day than there are days in a week, then Minnie mounts 7+3=<<3+7=10>>10 horses per day.
Twice as many horses per day as Minnie mounts is 10*2=<<10*2=20>>20 horses per day.
If Mickey mounts six less than twice as many horses per day as does Minnie, then Mickey mounts 20-6=<<20-6=14>>14 horses per day.
Since there are 7 days in a week, then Mickey mounts 7*14=<<7*14=98>>98 horses per week.
#### 98<|endoftext|>"
46,"<|endoftext|>A gecko lays 30 eggs per year. 20 percent of them are infertile, and a third of the remaining eggs will not hatch due to calcification issues.  How many eggs actually hatch?: Infertile:30(.20)=6
30-6=<<30-6=24>>24 eggs remain
Calcification Issues:24(1/3)=8
24-8=<<24-8=16>>16 eggs that will hatch
#### 16<|endoftext|>"
47,"<|endoftext|>Quentin, Skylar, and Colten have a total of 383 chickens.  Quentin has 25 more than double the chickens that Skylar has.  Skylar has 4 less than triple the number of chickens that Colten has.  How many chickens does Colten have?: Let x represent the number of chickens that Colten has
Skylar:3x-4
Quentin: 25+2(3x-4)=25+6x-8=6x+17
Total:x+3x-4+(6x+17)=383
10x+13=383
10x=370
x=<<37=37>>37 chickens
#### 37<|endoftext|>"
48,"<|endoftext|>An airplane took a trip along the Eastern Coast of the USA. During the trip, the plane hovered in Mountain time for 3 hours, Central time for 4 hrs, and Eastern time for 2 hrs. The next day it took 2 more hours to hover in each of the places it passed through the previous day. Calculate the total time it took the plane to hover over Mountain time, Central time, and Eastern time in the two days.: The total time it took to hover over the Mountain and the central time is 3+4 = <<3+4=7>>7 hours.
If it hovered further to the Eastern time zone, it took a total of 7+2 = <<7+2=9>>9 hours to cover the whole trip.
The next day, it took 2 more hours to cover each of the places it passed through the previous day, taking a total of 2*3 = <<2*3=6>>6 hours.
The total time it took on the second day to cover the distance it covered the previous day is 9+6 = <<9+6=15>>15 hours.
In total, the train took 15+9 = <<15+9=24>>24 hours to hover over the places in the two days.
#### 24<|endoftext|>"
49,"<|endoftext|>The city’s bus system carries 1,200,000 people each day. How many people does the bus system carry for 13 weeks?: 13 weeks have 13 * 7 = <<13*7=91>>91 days.
For 91 days the bus system carries 1,200,000 * 91 = <<1200000*91=109200000>>109,200,000 people.
#### 109,200,000<|endoftext|>"
50,"<|endoftext|>James decides to buy two suits.  The first is an off-the-rack suit which costs $300.  The second is a tailored suit that costs three as much plus an extra $200 for tailoring.  How much did he pay for both suits?: The second suit cost 300*3=$<<300*3=900>>900
After tailoring the second suit cost 900+200=$<<900+200=1100>>1100
So the total cost was 1100+300=$<<1100+300=1400>>1400
#### 1400<|endoftext|>"
51,"<|endoftext|>Jill and her brother Jack are going apple picking.  Jill's basket can hold twice as much as Jack's basket when both are full.  Jack's basket is full when it has 12 apples, but currently space for 4 more.  How many times could Jack's current number of apples fit into Jill's basket?: Since Jill's basket can hold twice as much as Jack's, and Jack's is capable of holding 12 apples in total, this means Jill's basket can hold 12*2=<<12*2=24>>24 apples in total.
Since Jack has 4 less than the maximum amount of apples he can fit in his basket, this means Jack has 12-4= <<12-4=8>>8 apples in his basket.
Therefore, Jill's basket can hold 24/8= <<24/8=3>>3 times the amount of apples Jack is currently carrying.
#### 3<|endoftext|>"
52,"<|endoftext|>Bailey bought 8 dog treats and an additional 2 chew toys. She also got 10 more rawhide bones. Sadly, she forgot her money and had to split the charges equally across 4 credit cards. How many items were included in each charge?: Bailey got 8+2=<<8+2=10>>10 dog supplies.
After adding the rawhide bones, she had 10+10=<<10+10=20>>20 dog supplies.
She needed to split the charges across 4 cards, so each charge had 20*.25 = <<20*.25=5>>5 items.
#### 5<|endoftext|>"
53,"<|endoftext|>A factory manufactures cars with 5 doors. The factory was planning to produce 200 cars but due to metal shortages, they decreased the production by 50 cars. Due to a pandemic, they also had to cut production by another 50%. How many doors will the factory produce?: The factory due to shortages will produce 200 - 50 = <<200-50=150>>150 cars.
Due to the pandemic, they will now produce 150 / 2 = <<150/2=75>>75 cars.
The company will have to manufacture 75 * 5 = <<75*5=375>>375 doors.
#### 375<|endoftext|>"
54,"<|endoftext|>Rachel makes $12.00 as a waitress in a coffee shop.  In one hour, she serves 20 different people and they all leave her a $1.25 tip.  How much money did she make in that hour?: She served 20 people and they all tipped her $1.25 so she made 20*1.25 = $<<20*1.25=25.00>>25.00 in tips
She makes $12.00 an hour and she made $25.00 in tips so she made 12+25 = $<<12+25=37.00>>37.00 in one hour
#### 37<|endoftext|>"
55,"<|endoftext|>The tripodasaurus has three legs. In a flock of tripodasauruses, there is a total of 20 heads and legs. How many tripodasauruses are in the flock?: Each animal has 1+3=<<1+3=4>>4 total heads and legs.
Then there are 20/4=<<20/4=5>>5 in the flock.
#### 5<|endoftext|>"
56,"<|endoftext|>There are 14 red crayons, 5 more blue crayons than red crayons, and 6 less yellow crayons than double the blue crayons.  How many yellow crayons are there?: Red:14 crayons
Blue:5+14=<<5+14=19>>19 crayons
Yellow:19(2)-6=32 crayons
#### 32<|endoftext|>"
57,"<|endoftext|>Nina has four times more math homework and eight times more reading homework than Ruby. If Ruby has six math homework and two reading homework, how much homework is Nina having altogether?: Nina has four times more math homework than Ruby, meaning she has 6*4 = <<4*6=24>>24 more math homework than Ruby.
The total number of math homework that Nina has is 24+6= <<24+6=30>>30
Nina also has eight times more reading homework than Ruby, a total of 8*2 = <<8*2=16>>16 more reading homework.
In total, Nina has 16+2 = <<16+2=18>>18 reading homework.
Altogether, Ruby has 18+30 = <<18+30=48>>48 homework.
#### 48<|endoftext|>"
58,"<|endoftext|>The post office receives 60 letters and 20 packages per day. How many pieces of mail does it handle in six months if all the months have 30 days?: First find the total number of pieces of mail the post office receives per day: 60 letters + 20 packages = <<60+20=80>>80 pieces of mail
Then multiply the daily amount of mail by the number of days per month: 80 pieces/day * 30 days/month = <<80*30=2400>>2400 pieces/month
Then multiply that number by 6 to find the total number of pieces of mail handled: 2400 pieces/month * 6 months = <<2400*6=14400>>14400 pieces
#### 14400<|endoftext|>"
